Section,Asset Name,Description,Aspect Ratio,Status,Priority
Hero Section,HeroBackgroundVideo.mp4,Main background video for hero section,16:9,Added,High
Hero Section,AIMC_Angled_Horiz_w Title_Violet.png,AI Masterclass logo (navbar),Horizontal,Added,High
Hero Section,whiteNyuLogo.png,NYU logo (white version),Square/Horizontal,Added,High
Hero Section,White_Text_Blue_Bkg-removebg-preview.png,Intellibus logo (white text),Horizontal,Added,High
Hero Section,Hero Video Placeholder,Main promotional video for hero section,9:16,Not Added,Critical
What You Get Section,No media assets required,Text-only section with icons,N/A,Complete,Low
AI Masterclass TV Section,HeroBackgroundVideo.mp4,Background video (reused),16:9,Added,High
AI Masterclass TV Section,Vinod Khosla Video,"Vinod Khosla on AI Investment",16:9,Not Added,Critical
AI Masterclass TV Section,Naveen Jain Video,"Naveen Jain's AI Vision",16:9,Not Added,Critical
AI Masterclass TV Section,Vibhav Prasad Video,"Vibhav Prasad on Innovation",16:9,Not Added,Critical
AI Masterclass TV Section,Investor Video 4,"More Investor Insights",16:9,Not Added,High
AI Masterclass TV Section,Jed Dougherty Video,"Jed Dougherty on AI Wins",16:9,Not Added,Critical
AI Masterclass TV Section,Chen Wang Video,"Chen Wang on Risk Management",16:9,Not Added,Critical
AI Masterclass TV Section,Ayan Bhattacharya Video,"Ayan Bhattacharya on Trade-offs",16:9,Not Added,Critical
AI Masterclass TV Section,Dan Shiebler Video,"Dan Shiebler on Implementation",16:9,Not Added,Critical
AI Masterclass TV Section,Peggy Smyth Video,"Peggy Smyth on Boardroom Ethics",16:9,Not Added,High
AI Masterclass TV Section,Ed Watal Video,"Ed Watal on Responsible AI",16:9,Not Added,High
AI Masterclass TV Section,Seth Dobrin Video,"Seth Dobrin on Governance",16:9,Not Added,High
AI Masterclass TV Section,Ethics Video,"Ethics in AI Scaling",16:9,Not Added,High
Free Syllabus Preview Section,No media assets required,Text-only section with icons,N/A,Complete,Low
Social Proof Section,HeroBackgroundVideo.mp4,Background video (reused),16:9,Added,High
Social Proof Section,Alumni Video 1,First testimonial video,9:16,Not Added,Critical
Social Proof Section,Alumni Video 2,Second testimonial video,9:16,Not Added,Critical
Social Proof Section,Alumni Video 3,Third testimonial video,9:16,Not Added,Critical
Meet The Instructors Section,Ed Watal Photo,Instructor profile photo,1:1 (Square),Not Added,High
Meet The Instructors Section,Jepson Taylor Photo,Instructor profile photo,1:1 (Square),Not Added,High
Value Proposition Section,HeroBackgroundVideo.mp4,Background video (reused),16:9,Added,High
Value Proposition Section,Strategic Framework Image,"Strategic AI Framework" placeholder,4:3,Not Added,Medium
Value Proposition Section,Case Studies Image,"Real-World Case Studies" placeholder,4:3,Not Added,Medium
Value Proposition Section,Executive Network Image,"Executive Network" placeholder,4:3,Not Added,Medium
Image Previews Section,Course Image 1,"AI Strategy Framework",16:9,Not Added,Medium
Image Previews Section,Course Image 2,"Implementation Guide",16:9,Not Added,Medium
Image Previews Section,Course Image 3,"Executive Dashboard",16:9,Not Added,Medium
Image Previews Section,Course Image 4,"Industry Analysis",16:9,Not Added,Medium
Image Previews Section,Course Image 5,"Success Metrics",16:9,Not Added,Medium
Upgrade Paths Section,HeroBackgroundVideo.mp4,Background video (reused),16:9,Added,High
FAQ Section,No media assets required,Text-only section,N/A,Complete,Low
Final Call Section,HeroBackgroundVideo.mp4,Background video (reused),16:9,Added,High
Final Call Section,Final CTA Image/Video,"Image or video that helps reinforce core value proposition",4:3,Not Added,High
Footer,AIMC_Angled_Horiz_w Title_Violet.png,AI Masterclass logo (reused),Horizontal,Added,High
Footer,whiteNyuLogo.png,NYU logo (reused),Square/Horizontal,Added,High
Footer,White_Text_Blue_Bkg-removebg-preview.png,Intellibus logo (reused),Horizontal,Added,High
